Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Delta Time (s)	Peak Freq (Hz)	Q1 Freq (Hz)	Q3 Freq Rel.	Begin Hour	calltype
249	Spectrogram 1	6	76111.936250064	76199.426749310	0.0	299.6	87.490	43.0	0.0	0.1447	21	c
250	Spectrogram 1	6	75890.361474065	75946.314700328	0.0	374.4	55.953	3.9	0.0	0.4632	21	c
251	Spectrogram 1	6	76213.594085531	76282.772619819	0.0	471.4	69.179	3.9	0.0	0.2083	21	su
252	Spectrogram 1	6	76377.326214014	76435.314103050	0.0	392.1	57.988	3.9	0.0	0.1800	21	c
253	Spectrogram 1	6	76638.780380367	76706.918871515	0.0	524.2	68.138	0.0	0.0	0.3284	21	su
254	Spectrogram 1	6	77108.791060975	77167.999747674	0.0	480.2	59.209	109.4	85.9	0.3770	21	su
255	Spectrogram 1	6	76877.246437388	76958.429482037	0.0	229.1	81.183	0.0	27.3	0.6379	21	c
256	Spectrogram 1	6	76806.033240327	76856.696343379	0.0	171.8	50.663	0.0	0.0	0.7209	21	c
257	Spectrogram 1	6	77612.995797664	77742.603816315	0.0	189.4	129.608	46.9	50.8	0.6458	21	c
258	Spectrogram 1	6	78867.000058026	78963.850006029	0.0	237.9	96.850	62.5	58.6	0.6500	21	c
259	Spectrogram 1	6	79147.702584213	79235.600016014	0.0	246.7	87.897	0.0	0.0	0.4286	21	c
260	Spectrogram 1	6	79550.608388160	79625.767399397	0.0	237.9	75.159	0.0	0.0	0.5333	22	c
261	Spectrogram 1	6	80271.785176528	80348.288496799	0.0	193.8	76.503	0.0	0.0	0.0204	22	c
262	Spectrogram 1	6	80941.625408063	81021.384188772	0.0	259.9	79.759	0.0	0.0	0.0152	22	c
263	Spectrogram 1	6	81186.314403165	81258.544931613	0.0	215.9	72.231	0.0	0.0	0.0182	22	c
264	Spectrogram 1	6	81628.162220987	81713.618057460	52.9	198.2	85.456	125.0	82.0	0.5556	22	sd
265	Spectrogram 1	6	81922.577924265	81982.193543519	0.0	229.1	59.616	0.0	0.0	0.0172	22	c
266	Spectrogram 1	6	81736.428814050	81810.287072716	0.0	180.6	73.858	0.0	0.0	0.0217	22	sd
267	Spectrogram 1	6	82574.118537491	82638.210414846	0.0	255.5	64.092	0.0	0.0	0.0154	22	c
268	Spectrogram 1	6	82826.620187641	82890.712064996	26.4	255.5	64.092	58.6	66.4	0.5517	23	c
269	Spectrogram 1	6	83146.795171628	83216.584104748	44.1	273.1	69.789	125.0	74.2	0.5263	23	sd
270	Spectrogram 1	6	83609.803482291	83669.826034099	0.0	374.4	60.023	0.0	0.0	0.0105	23	su
271	Spectrogram 1	6	83789.260738885	83868.816053316	0.0	273.1	79.555	0.0	0.0	0.0145	23	sd
272	Spectrogram 1	6	84541.110226827	84606.422901846	0.0	229.1	65.313	0.0	0.0	0.0172	23	su
273	Spectrogram 1	6	84780.996967784	84839.798721929	0.0	259.9	58.802	0.0	0.0	0.0152	23	c
274	Spectrogram 1	6	84611.672333461	84735.379830070	0.0	286.3	123.707	0.0	0.0	0.0137	23	c
275	Spectrogram 1	6	84994.352156179	85007.577464205	0.0	295.2	13.225	0.0	0.0	0.0133	23	song
276	Spectrogram 1	6	84999.845745667	85070.855476451	0.0	193.8	71.010	0.0	0.0	0.0204	23	song
277	Spectrogram 1	6	85271.066293331	85377.886088922	0.0	202.6	106.820	0.0	0.0	0.0196	23	c
