Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Delta Time (s)	Peak Freq (Hz)	Freq 25% (Hz)	Begin Hour	File Offset (s)	Begin File	Begin Path	Begin Date	Begin Clock Time	calltype
44	Spectrogram 1	6	22478.690165222	22533.219127543	107.600	219.700	54.5290	164.062	132.812	6	878.6900	79296_Brunswick03_002K_M06_UTCm5_20161217_060000.aif	C:\Users\xavier.mouy\Desktop\Brunswick\79296_Brunswick03_002K_M06_UTCm5_20161217_060000.aif	2016/12/17	6:14:38.6902	c
45	Waveform 1	6	23059.301984175	23140.688495102	0.000	493.300	81.3865			6	559.3020	79296_Brunswick03_002K_M06_UTCm5_20161217_061500.aif	C:\Users\xavier.mouy\Desktop\Brunswick\79296_Brunswick03_002K_M06_UTCm5_20161217_061500.aif	2016/12/17	6:24:19.3020	su
45	Spectrogram 1	6	23059.301984175	23140.688495102	0.000	493.300	81.3865	0.000	0.000	6	559.3020	79296_Brunswick03_002K_M06_UTCm5_20161217_061500.aif	C:\Users\xavier.mouy\Desktop\Brunswick\79296_Brunswick03_002K_M06_UTCm5_20161217_061500.aif	2016/12/17	6:24:19.3020	su
46	Waveform 1	6	23451.910962886	23538.791063301	0.000	255.600	86.8801			6	51.9110	79296_Brunswick03_002K_M06_UTCm5_20161217_063000.aif	C:\Users\xavier.mouy\Desktop\Brunswick\79296_Brunswick03_002K_M06_UTCm5_20161217_063000.aif	2016/12/17	6:30:51.9110	su
46	Spectrogram 1	6	23451.910962886	23538.791063301	0.000	255.600	86.8801	46.875	3.906	6	51.9110	79296_Brunswick03_002K_M06_UTCm5_20161217_063000.aif	C:\Users\xavier.mouy\Desktop\Brunswick\79296_Brunswick03_002K_M06_UTCm5_20161217_063000.aif	2016/12/17	6:30:51.9110	su
47	Waveform 1	6	23733.711756971	23787.630320460	134.500	206.300	53.9186			6	333.7120	79296_Brunswick03_002K_M06_UTCm5_20161217_063000.aif	C:\Users\xavier.mouy\Desktop\Brunswick\79296_Brunswick03_002K_M06_UTCm5_20161217_063000.aif	2016/12/17	6:35:33.7118	c
47	Spectrogram 1	6	23733.711756971	23787.630320460	134.500	206.300	53.9186	171.875	164.062	6	333.7120	79296_Brunswick03_002K_M06_UTCm5_20161217_063000.aif	C:\Users\xavier.mouy\Desktop\Brunswick\79296_Brunswick03_002K_M06_UTCm5_20161217_063000.aif	2016/12/17	6:35:33.7118	c
48	Waveform 1	6	23814.000000000	23854.082856631	0.000	210.800	40.0829			6	414.0000	79296_Brunswick03_002K_M06_UTCm5_20161217_063000.aif	C:\Users\xavier.mouy\Desktop\Brunswick\79296_Brunswick03_002K_M06_UTCm5_20161217_063000.aif	2016/12/17	6:36:54.0000	c
48	Spectrogram 1	6	23814.000000000	23854.082856631	0.000	210.800	40.0829	46.875	3.906	6	414.0000	79296_Brunswick03_002K_M06_UTCm5_20161217_063000.aif	C:\Users\xavier.mouy\Desktop\Brunswick\79296_Brunswick03_002K_M06_UTCm5_20161217_063000.aif	2016/12/17	6:36:54.0000	c
49	Waveform 1	6	24186.139821213	24239.244519593	0.000	237.700	53.1047			6	786.1400	79296_Brunswick03_002K_M06_UTCm5_20161217_063000.aif	C:\Users\xavier.mouy\Desktop\Brunswick\79296_Brunswick03_002K_M06_UTCm5_20161217_063000.aif	2016/12/17	6:43:06.1398	sd
49	Spectrogram 1	6	24186.139821213	24239.244519593	0.000	237.700	53.1047	54.688	3.906	6	786.1400	79296_Brunswick03_002K_M06_UTCm5_20161217_063000.aif	C:\Users\xavier.mouy\Desktop\Brunswick\79296_Brunswick03_002K_M06_UTCm5_20161217_063000.aif	2016/12/17	6:43:06.1398	sd
50	Waveform 1	6	24413.127250188	24473.760200829	103.100	206.300	60.6330			6	113.1275	79296_Brunswick03_002K_M06_UTCm5_20161217_064500.aif	C:\Users\xavier.mouy\Desktop\Brunswick\79296_Brunswick03_002K_M06_UTCm5_20161217_064500.aif	2016/12/17	6:46:53.1273	c
50	Spectrogram 1	6	24413.127250188	24473.760200829	103.100	206.300	60.6330	167.969	132.812	6	113.1275	79296_Brunswick03_002K_M06_UTCm5_20161217_064500.aif	C:\Users\xavier.mouy\Desktop\Brunswick\79296_Brunswick03_002K_M06_UTCm5_20161217_064500.aif	2016/12/17	6:46:53.1273	c
51	Waveform 1	6	24672.953686323	24704.287493029	116.600	197.300	31.3338			6	372.9535	79296_Brunswick03_002K_M06_UTCm5_20161217_064500.aif	C:\Users\xavier.mouy\Desktop\Brunswick\79296_Brunswick03_002K_M06_UTCm5_20161217_064500.aif	2016/12/17	6:51:12.9537	c
51	Spectrogram 1	6	24672.953686323	24704.287493029	116.600	197.300	31.3338	152.344	136.719	6	372.9535	79296_Brunswick03_002K_M06_UTCm5_20161217_064500.aif	C:\Users\xavier.mouy\Desktop\Brunswick\79296_Brunswick03_002K_M06_UTCm5_20161217_064500.aif	2016/12/17	6:51:12.9537	c
52	Waveform 1	6	24760.677701833	24813.782400213	103.100	201.800	53.1047			6	460.6775	79296_Brunswick03_002K_M06_UTCm5_20161217_064500.aif	C:\Users\xavier.mouy\Desktop\Brunswick\79296_Brunswick03_002K_M06_UTCm5_20161217_064500.aif	2016/12/17	6:52:40.6777	sd
52	Spectrogram 1	6	24760.677701833	24813.782400213	103.100	201.800	53.1047	167.969	144.531	6	460.6775	79296_Brunswick03_002K_M06_UTCm5_20161217_064500.aif	C:\Users\xavier.mouy\Desktop\Brunswick\79296_Brunswick03_002K_M06_UTCm5_20161217_064500.aif	2016/12/17	6:52:40.6777	sd
53	Waveform 1	6	24527.301881750	24577.151119693	85.200	206.300	49.8492			6	227.3020	79296_Brunswick03_002K_M06_UTCm5_20161217_064500.aif	C:\Users\xavier.mouy\Desktop\Brunswick\79296_Brunswick03_002K_M06_UTCm5_20161217_064500.aif	2016/12/17	6:48:47.3019	c
53	Spectrogram 1	6	24527.301881750	24577.151119693	85.200	206.300	49.8492	171.875	101.562	6	227.3020	79296_Brunswick03_002K_M06_UTCm5_20161217_064500.aif	C:\Users\xavier.mouy\Desktop\Brunswick\79296_Brunswick03_002K_M06_UTCm5_20161217_064500.aif	2016/12/17	6:48:47.3019	c
54	Waveform 1	6	24882.849948003	24952.842347400	112.100	219.700	69.9924			6	582.8500	79296_Brunswick03_002K_M06_UTCm5_20161217_064500.aif	C:\Users\xavier.mouy\Desktop\Brunswick\79296_Brunswick03_002K_M06_UTCm5_20161217_064500.aif	2016/12/17	6:54:42.8499	c
54	Spectrogram 1	6	24882.849948003	24952.842347400	112.100	219.700	69.9924	171.875	136.719	6	582.8500	79296_Brunswick03_002K_M06_UTCm5_20161217_064500.aif	C:\Users\xavier.mouy\Desktop\Brunswick\79296_Brunswick03_002K_M06_UTCm5_20161217_064500.aif	2016/12/17	6:54:42.8499	c
55	Waveform 1	6	24983.158822720	25033.821925772	35.900	188.300	50.6631			6	683.1590	79296_Brunswick03_002K_M06_UTCm5_20161217_064500.aif	C:\Users\xavier.mouy\Desktop\Brunswick\79296_Brunswick03_002K_M06_UTCm5_20161217_064500.aif	2016/12/17	6:56:23.1588	c
55	Spectrogram 1	6	24983.158822720	25033.821925772	35.900	188.300	50.6631	46.875	46.875	6	683.1590	79296_Brunswick03_002K_M06_UTCm5_20161217_064500.aif	C:\Users\xavier.mouy\Desktop\Brunswick\79296_Brunswick03_002K_M06_UTCm5_20161217_064500.aif	2016/12/17	6:56:23.1588	c
56	Waveform 1	6	25167.499269970	25211.041053316	139.000	219.700	43.5418			6	867.4995	79296_Brunswick03_002K_M06_UTCm5_20161217_064500.aif	C:\Users\xavier.mouy\Desktop\Brunswick\79296_Brunswick03_002K_M06_UTCm5_20161217_064500.aif	2016/12/17	6:59:27.4993	c
56	Spectrogram 1	6	25167.499269970	25211.041053316	139.000	219.700	43.5418	175.781	160.156	6	867.4995	79296_Brunswick03_002K_M06_UTCm5_20161217_064500.aif	C:\Users\xavier.mouy\Desktop\Brunswick\79296_Brunswick03_002K_M06_UTCm5_20161217_064500.aif	2016/12/17	6:59:27.4993	c
57	Waveform 1	6	25316.152182178	25371.291543331	0.000	215.200	55.1394			7	116.1520	79296_Brunswick03_002K_M06_UTCm5_20161217_070000.aif	C:\Users\xavier.mouy\Desktop\Brunswick\79296_Brunswick03_002K_M06_UTCm5_20161217_070000.aif	2016/12/17	7:01:56.1522	c
57	Spectrogram 1	6	25316.152182178	25371.291543331	0.000	215.200	55.1394	42.969	0.000	7	116.1520	79296_Brunswick03_002K_M06_UTCm5_20161217_070000.aif	C:\Users\xavier.mouy\Desktop\Brunswick\79296_Brunswick03_002K_M06_UTCm5_20161217_070000.aif	2016/12/17	7:01:56.1522	c
58	Waveform 1	6	25459.595907687	25508.834746797	103.100	201.800	49.2388			7	259.5960	79296_Brunswick03_002K_M06_UTCm5_20161217_070000.aif	C:\Users\xavier.mouy\Desktop\Brunswick\79296_Brunswick03_002K_M06_UTCm5_20161217_070000.aif	2016/12/17	7:04:19.5959	c
58	Spectrogram 1	6	25459.595907687	25508.834746797	103.100	201.800	49.2388	171.875	136.719	7	259.5960	79296_Brunswick03_002K_M06_UTCm5_20161217_070000.aif	C:\Users\xavier.mouy\Desktop\Brunswick\79296_Brunswick03_002K_M06_UTCm5_20161217_070000.aif	2016/12/17	7:04:19.5959	c
59	Waveform 1	6	25594.697515825	25636.204636398	0.000	192.800	41.5071			7	394.6975	79296_Brunswick03_002K_M06_UTCm5_20161217_070000.aif	C:\Users\xavier.mouy\Desktop\Brunswick\79296_Brunswick03_002K_M06_UTCm5_20161217_070000.aif	2016/12/17	7:06:34.6975	c
59	Spectrogram 1	6	25594.697515825	25636.204636398	0.000	192.800	41.5071	0.000	0.000	7	394.6975	79296_Brunswick03_002K_M06_UTCm5_20161217_070000.aif	C:\Users\xavier.mouy\Desktop\Brunswick\79296_Brunswick03_002K_M06_UTCm5_20161217_070000.aif	2016/12/17	7:06:34.6975	c
60	Waveform 1	6	25684.019211567	25771.102778259	0.000	210.800	87.0836			7	484.0190	79296_Brunswick03_002K_M06_UTCm5_20161217_070000.aif	C:\Users\xavier.mouy\Desktop\Brunswick\79296_Brunswick03_002K_M06_UTCm5_20161217_070000.aif	2016/12/17	7:08:04.0192	sd
60	Spectrogram 1	6	25684.019211567	25771.102778259	0.000	210.800	87.0836	50.781	3.906	7	484.0190	79296_Brunswick03_002K_M06_UTCm5_20161217_070000.aif	C:\Users\xavier.mouy\Desktop\Brunswick\79296_Brunswick03_002K_M06_UTCm5_20161217_070000.aif	2016/12/17	7:08:04.0192	sd
61	Waveform 1	6	25902.257590618	25954.344957611	116.600	210.800	52.0874			7	702.2575	79296_Brunswick03_002K_M06_UTCm5_20161217_070000.aif	C:\Users\xavier.mouy\Desktop\Brunswick\79296_Brunswick03_002K_M06_UTCm5_20161217_070000.aif	2016/12/17	7:11:42.2576	c
61	Spectrogram 1	6	25902.257590618	25954.344957611	116.600	210.800	52.0874	175.781	144.531	7	702.2575	79296_Brunswick03_002K_M06_UTCm5_20161217_070000.aif	C:\Users\xavier.mouy\Desktop\Brunswick\79296_Brunswick03_002K_M06_UTCm5_20161217_070000.aif	2016/12/17	7:11:42.2576	c
62	Waveform 1	6	26210.509000754	26241.232408628	89.700	197.300	30.7234			7	110.5090	79296_Brunswick03_002K_M06_UTCm5_20161217_071500.aif	C:\Users\xavier.mouy\Desktop\Brunswick\79296_Brunswick03_002K_M06_UTCm5_20161217_071500.aif	2016/12/17	7:16:50.5090	c
62	Spectrogram 1	6	26210.509000754	26241.232408628	89.700	197.300	30.7234	156.250	113.281	7	110.5090	79296_Brunswick03_002K_M06_UTCm5_20161217_071500.aif	C:\Users\xavier.mouy\Desktop\Brunswick\79296_Brunswick03_002K_M06_UTCm5_20161217_071500.aif	2016/12/17	7:16:50.5090	c
63	Waveform 1	6	26264.133323100	26297.999500000	9.000	201.800	33.8662			7	164.1335	79296_Brunswick03_002K_M06_UTCm5_20161217_071500.aif	C:\Users\xavier.mouy\Desktop\Brunswick\79296_Brunswick03_002K_M06_UTCm5_20161217_071500.aif	2016/12/17	7:17:44.1333	c
63	Spectrogram 1	6	26264.133323100	26297.999500000	9.000	201.800	33.8662	46.875	46.875	7	164.1335	79296_Brunswick03_002K_M06_UTCm5_20161217_071500.aif	C:\Users\xavier.mouy\Desktop\Brunswick\79296_Brunswick03_002K_M06_UTCm5_20161217_071500.aif	2016/12/17	7:17:44.1333	c
65	Waveform 1	6	26013.869801999	26072.875022422	0.000	180.600	59.0052			7	813.8700	79296_Brunswick03_002K_M06_UTCm5_20161217_070000.aif	C:\Users\xavier.mouy\Desktop\Brunswick\79296_Brunswick03_002K_M06_UTCm5_20161217_070000.aif	2016/12/17	7:13:33.8698	sd
65	Spectrogram 1	6	26013.869801999	26072.875022422	0.000	180.600	59.0052	46.875	3.906	7	813.8700	79296_Brunswick03_002K_M06_UTCm5_20161217_070000.aif	C:\Users\xavier.mouy\Desktop\Brunswick\79296_Brunswick03_002K_M06_UTCm5_20161217_070000.aif	2016/12/17	7:13:33.8698	sd
66	Waveform 1	6	26263.532762622	26358.551514130	0.000	198.200	95.0188			7	163.5330	79296_Brunswick03_002K_M06_UTCm5_20161217_071500.aif	C:\Users\xavier.mouy\Desktop\Brunswick\79296_Brunswick03_002K_M06_UTCm5_20161217_071500.aif	2016/12/17	7:17:43.5328	sd
66	Spectrogram 1	6	26263.532762622	26358.551514130	0.000	198.200	95.0188	0.000	3.906	7	163.5330	79296_Brunswick03_002K_M06_UTCm5_20161217_071500.aif	C:\Users\xavier.mouy\Desktop\Brunswick\79296_Brunswick03_002K_M06_UTCm5_20161217_071500.aif	2016/12/17	7:17:43.5328	sd
67	Waveform 1	6	26355.906452524	26406.976488131	0.000	193.800	51.0700			7	255.9065	79296_Brunswick03_002K_M06_UTCm5_20161217_071500.aif	C:\Users\xavier.mouy\Desktop\Brunswick\79296_Brunswick03_002K_M06_UTCm5_20161217_071500.aif	2016/12/17	7:19:15.9065	su
67	Spectrogram 1	6	26355.906452524	26406.976488131	0.000	193.800	51.0700	46.875	3.906	7	255.9065	79296_Brunswick03_002K_M06_UTCm5_20161217_071500.aif	C:\Users\xavier.mouy\Desktop\Brunswick\79296_Brunswick03_002K_M06_UTCm5_20161217_071500.aif	2016/12/17	7:19:15.9065	su
68	Waveform 1	6	26541.264231161	26590.299603994	0.000	374.400	49.0354			7	441.2640	79296_Brunswick03_002K_M06_UTCm5_20161217_071500.aif	C:\Users\xavier.mouy\Desktop\Brunswick\79296_Brunswick03_002K_M06_UTCm5_20161217_071500.aif	2016/12/17	7:22:21.2642	su
68	Spectrogram 1	6	26541.264231161	26590.299603994	0.000	374.400	49.0354	46.875	3.906	7	441.2640	79296_Brunswick03_002K_M06_UTCm5_20161217_071500.aif	C:\Users\xavier.mouy\Desktop\Brunswick\79296_Brunswick03_002K_M06_UTCm5_20161217_071500.aif	2016/12/17	7:22:21.2642	su
69	Waveform 1	6	26779.238839111	26821.559824793	127.800	202.600	42.3210			7	679.2390	79296_Brunswick03_002K_M06_UTCm5_20161217_071500.aif	C:\Users\xavier.mouy\Desktop\Brunswick\79296_Brunswick03_002K_M06_UTCm5_20161217_071500.aif	2016/12/17	7:26:19.2388	c
69	Spectrogram 1	6	26779.238839111	26821.559824793	127.800	202.600	42.3210	175.781	148.438	7	679.2390	79296_Brunswick03_002K_M06_UTCm5_20161217_071500.aif	C:\Users\xavier.mouy\Desktop\Brunswick\79296_Brunswick03_002K_M06_UTCm5_20161217_071500.aif	2016/12/17	7:26:19.2388	c
70	Waveform 1	6	26877.309584778	26960.323825923	0.000	255.500	83.0142			7	777.3095	79296_Brunswick03_002K_M06_UTCm5_20161217_071500.aif	C:\Users\xavier.mouy\Desktop\Brunswick\79296_Brunswick03_002K_M06_UTCm5_20161217_071500.aif	2016/12/17	7:27:57.3096	sd
70	Spectrogram 1	6	26877.309584778	26960.323825923	0.000	255.500	83.0142	42.969	3.906	7	777.3095	79296_Brunswick03_002K_M06_UTCm5_20161217_071500.aif	C:\Users\xavier.mouy\Desktop\Brunswick\79296_Brunswick03_002K_M06_UTCm5_20161217_071500.aif	2016/12/17	7:27:57.3096	sd
71	Waveform 1	6	27138.967217408	27192.682314619	96.900	202.600	53.7151			7	138.9670	79296_Brunswick03_002K_M06_UTCm5_20161217_073000.aif	C:\Users\xavier.mouy\Desktop\Brunswick\79296_Brunswick03_002K_M06_UTCm5_20161217_073000.aif	2016/12/17	7:32:18.9672	su
71	Spectrogram 1	6	27138.967217408	27192.682314619	96.900	202.600	53.7151	152.344	121.094	7	138.9670	79296_Brunswick03_002K_M06_UTCm5_20161217_073000.aif	C:\Users\xavier.mouy\Desktop\Brunswick\79296_Brunswick03_002K_M06_UTCm5_20161217_073000.aif	2016/12/17	7:32:18.9672	su
72	Waveform 1	6	27213.210500255	27269.999500000	79.300	246.700	56.7890			7	213.2105	79296_Brunswick03_002K_M06_UTCm5_20161217_073000.aif	C:\Users\xavier.mouy\Desktop\Brunswick\79296_Brunswick03_002K_M06_UTCm5_20161217_073000.aif	2016/12/17	7:33:33.2105	su
72	Spectrogram 1	6	27213.210500255	27269.999500000	79.300	246.700	56.7890	183.594	113.281	7	213.2105	79296_Brunswick03_002K_M06_UTCm5_20161217_073000.aif	C:\Users\xavier.mouy\Desktop\Brunswick\79296_Brunswick03_002K_M06_UTCm5_20161217_073000.aif	2016/12/17	7:33:33.2105	su
73	Waveform 1	6	27625.984548794	27666.270871703	0.000	215.900	40.2863			7	625.9845	79296_Brunswick03_002K_M06_UTCm5_20161217_073000.aif	C:\Users\xavier.mouy\Desktop\Brunswick\79296_Brunswick03_002K_M06_UTCm5_20161217_073000.aif	2016/12/17	7:40:25.9845	c
73	Spectrogram 1	6	27625.984548794	27666.270871703	0.000	215.900	40.2863	3.906	3.906	7	625.9845	79296_Brunswick03_002K_M06_UTCm5_20161217_073000.aif	C:\Users\xavier.mouy\Desktop\Brunswick\79296_Brunswick03_002K_M06_UTCm5_20161217_073000.aif	2016/12/17	7:40:25.9845	c
74	Waveform 1	6	27649.993569518	27720.799834024	0.000	202.600	70.8063			7	649.9935	79296_Brunswick03_002K_M06_UTCm5_20161217_073000.aif	C:\Users\xavier.mouy\Desktop\Brunswick\79296_Brunswick03_002K_M06_UTCm5_20161217_073000.aif	2016/12/17	7:40:49.9936	sd
74	Spectrogram 1	6	27649.993569518	27720.799834024	0.000	202.600	70.8063	3.906	3.906	7	649.9935	79296_Brunswick03_002K_M06_UTCm5_20161217_073000.aif	C:\Users\xavier.mouy\Desktop\Brunswick\79296_Brunswick03_002K_M06_UTCm5_20161217_073000.aif	2016/12/17	7:40:49.9936	sd
75	Waveform 1	6	27924.110049989	27980.673675083	0.000	757.700	56.5636			7	24.1100	79296_Brunswick03_002K_M06_UTCm5_20161217_074500.aif	C:\Users\xavier.mouy\Desktop\Brunswick\79296_Brunswick03_002K_M06_UTCm5_20161217_074500.aif	2016/12/17	7:45:24.1100	su
75	Spectrogram 1	6	27924.110049989	27980.673675083	0.000	757.700	56.5636	7.812	7.812	7	24.1100	79296_Brunswick03_002K_M06_UTCm5_20161217_074500.aif	C:\Users\xavier.mouy\Desktop\Brunswick\79296_Brunswick03_002K_M06_UTCm5_20161217_074500.aif	2016/12/17	7:45:24.1100	su
76	Waveform 1	6	28381.903362283	28440.298183873	0.000	709.300	58.3948			7	481.9035	79296_Brunswick03_002K_M06_UTCm5_20161217_074500.aif	C:\Users\xavier.mouy\Desktop\Brunswick\79296_Brunswick03_002K_M06_UTCm5_20161217_074500.aif	2016/12/17	7:53:01.9034	su
76	Spectrogram 1	6	28381.903362283	28440.298183873	0.000	709.300	58.3948	3.906	3.906	7	481.9035	79296_Brunswick03_002K_M06_UTCm5_20161217_074500.aif	C:\Users\xavier.mouy\Desktop\Brunswick\79296_Brunswick03_002K_M06_UTCm5_20161217_074500.aif	2016/12/17	7:53:01.9034	su
77	Waveform 1	6	28538.165463263	28570.720067634	0.000	440.500	32.5546			7	638.1655	79296_Brunswick03_002K_M06_UTCm5_20161217_074500.aif	C:\Users\xavier.mouy\Desktop\Brunswick\79296_Brunswick03_002K_M06_UTCm5_20161217_074500.aif	2016/12/17	7:55:38.1655	c
77	Spectrogram 1	6	28538.165463263	28570.720067634	0.000	440.500	32.5546	3.906	3.906	7	638.1655	79296_Brunswick03_002K_M06_UTCm5_20161217_074500.aif	C:\Users\xavier.mouy\Desktop\Brunswick\79296_Brunswick03_002K_M06_UTCm5_20161217_074500.aif	2016/12/17	7:55:38.1655	c
78	Waveform 1	6	28576.620589676	28613.447985870	0.000	215.900	36.8274			7	676.6205	79296_Brunswick03_002K_M06_UTCm5_20161217_074500.aif	C:\Users\xavier.mouy\Desktop\Brunswick\79296_Brunswick03_002K_M06_UTCm5_20161217_074500.aif	2016/12/17	7:56:16.6206	c
78	Spectrogram 1	6	28576.620589676	28613.447985870	0.000	215.900	36.8274	7.812	3.906	7	676.6205	79296_Brunswick03_002K_M06_UTCm5_20161217_074500.aif	C:\Users\xavier.mouy\Desktop\Brunswick\79296_Brunswick03_002K_M06_UTCm5_20161217_074500.aif	2016/12/17	7:56:16.6206	c
79	Waveform 1	6	28404.719135209	28492.413100732	0.000	211.500	87.6940			7	504.7190	79296_Brunswick03_002K_M06_UTCm5_20161217_074500.aif	C:\Users\xavier.mouy\Desktop\Brunswick\79296_Brunswick03_002K_M06_UTCm5_20161217_074500.aif	2016/12/17	7:53:24.7191	su
79	Spectrogram 1	6	28404.719135209	28492.413100732	0.000	211.500	87.6940	0.000	3.906	7	504.7190	79296_Brunswick03_002K_M06_UTCm5_20161217_074500.aif	C:\Users\xavier.mouy\Desktop\Brunswick\79296_Brunswick03_002K_M06_UTCm5_20161217_074500.aif	2016/12/17	7:53:24.7191	su
80	Waveform 1	6	28960.073585908	29019.485738885	0.000	524.200	59.4122			8	160.0735	79296_Brunswick03_002K_M06_UTCm5_20161217_080000.aif	C:\Users\xavier.mouy\Desktop\Brunswick\79296_Brunswick03_002K_M06_UTCm5_20161217_080000.aif	2016/12/17	8:02:40.0736	su
80	Spectrogram 1	6	28960.073585908	29019.485738885	0.000	524.200	59.4122	3.906	3.906	8	160.0735	79296_Brunswick03_002K_M06_UTCm5_20161217_080000.aif	C:\Users\xavier.mouy\Desktop\Brunswick\79296_Brunswick03_002K_M06_UTCm5_20161217_080000.aif	2016/12/17	8:02:40.0736	su
81	Waveform 1	6	29034.135310852	29086.019211567	0.000	220.300	51.8839			8	234.1355	79296_Brunswick03_002K_M06_UTCm5_20161217_080000.aif	C:\Users\xavier.mouy\Desktop\Brunswick\79296_Brunswick03_002K_M06_UTCm5_20161217_080000.aif	2016/12/17	8:03:54.1353	c
81	Spectrogram 1	6	29034.135310852	29086.019211567	0.000	220.300	51.8839	3.906	3.906	8	234.1355	79296_Brunswick03_002K_M06_UTCm5_20161217_080000.aif	C:\Users\xavier.mouy\Desktop\Brunswick\79296_Brunswick03_002K_M06_UTCm5_20161217_080000.aif	2016/12/17	8:03:54.1353	c
82	Waveform 1	6	29107.790103240	29192.635540882	0.000	215.900	84.8454			8	307.7900	79296_Brunswick03_002K_M06_UTCm5_20161217_080000.aif	C:\Users\xavier.mouy\Desktop\Brunswick\79296_Brunswick03_002K_M06_UTCm5_20161217_080000.aif	2016/12/17	8:05:07.7901	sd
82	Spectrogram 1	6	29107.790103240	29192.635540882	0.000	215.900	84.8454	3.906	3.906	8	307.7900	79296_Brunswick03_002K_M06_UTCm5_20161217_080000.aif	C:\Users\xavier.mouy\Desktop\Brunswick\79296_Brunswick03_002K_M06_UTCm5_20161217_080000.aif	2016/12/17	8:05:07.7901	sd
83	Waveform 1	6	29282.079766390	29328.673543896	0.000	220.300	46.5938			8	482.0800	79296_Brunswick03_002K_M06_UTCm5_20161217_080000.aif	C:\Users\xavier.mouy\Desktop\Brunswick\79296_Brunswick03_002K_M06_UTCm5_20161217_080000.aif	2016/12/17	8:08:02.0798	sd
83	Spectrogram 1	6	29282.079766390	29328.673543896	0.000	220.300	46.5938	3.906	3.906	8	482.0800	79296_Brunswick03_002K_M06_UTCm5_20161217_080000.aif	C:\Users\xavier.mouy\Desktop\Brunswick\79296_Brunswick03_002K_M06_UTCm5_20161217_080000.aif	2016/12/17	8:08:02.0798	sd
84	Waveform 1	6	29524.408102675	29584.023721929	0.000	484.600	59.6156			8	724.4080	79296_Brunswick03_002K_M06_UTCm5_20161217_080000.aif	C:\Users\xavier.mouy\Desktop\Brunswick\79296_Brunswick03_002K_M06_UTCm5_20161217_080000.aif	2016/12/17	8:12:04.4081	su
84	Spectrogram 1	6	29524.408102675	29584.023721929	0.000	484.600	59.6156	0.000	3.906	8	724.4080	79296_Brunswick03_002K_M06_UTCm5_20161217_080000.aif	C:\Users\xavier.mouy\Desktop\Brunswick\79296_Brunswick03_002K_M06_UTCm5_20161217_080000.aif	2016/12/17	8:12:04.4081	su
85	Waveform 1	6	29597.249029955	29627.158572720	0.000	207.000	29.9095			8	797.2490	79296_Brunswick03_002K_M06_UTCm5_20161217_080000.aif	C:\Users\xavier.mouy\Desktop\Brunswick\79296_Brunswick03_002K_M06_UTCm5_20161217_080000.aif	2016/12/17	8:13:17.2490	c
85	Spectrogram 1	6	29597.249029955	29627.158572720	0.000	207.000	29.9095	3.906	0.000	8	797.2490	79296_Brunswick03_002K_M06_UTCm5_20161217_080000.aif	C:\Users\xavier.mouy\Desktop\Brunswick\79296_Brunswick03_002K_M06_UTCm5_20161217_080000.aif	2016/12/17	8:13:17.2490	c
86	Waveform 1	6	29972.156442540	30034.417123399	0.000	563.900	62.2607			8	272.1565	79296_Brunswick03_002K_M06_UTCm5_20161217_081500.aif	C:\Users\xavier.mouy\Desktop\Brunswick\79296_Brunswick03_002K_M06_UTCm5_20161217_081500.aif	2016/12/17	8:19:32.1564	su
86	Spectrogram 1	6	29972.156442540	30034.417123399	0.000	563.900	62.2607	117.188	62.500	8	272.1565	79296_Brunswick03_002K_M06_UTCm5_20161217_081500.aif	C:\Users\xavier.mouy\Desktop\Brunswick\79296_Brunswick03_002K_M06_UTCm5_20161217_081500.aif	2016/12/17	8:19:32.1564	su
87	Waveform 1	6	30132.000000000	30195.074545968	0.000	220.300	63.0745			8	432.0000	79296_Brunswick03_002K_M06_UTCm5_20161217_081500.aif	C:\Users\xavier.mouy\Desktop\Brunswick\79296_Brunswick03_002K_M06_UTCm5_20161217_081500.aif	2016/12/17	8:22:12.0000	sd
87	Spectrogram 1	6	30132.000000000	30195.074545968	0.000	220.300	63.0745	62.500	0.000	8	432.0000	79296_Brunswick03_002K_M06_UTCm5_20161217_081500.aif	C:\Users\xavier.mouy\Desktop\Brunswick\79296_Brunswick03_002K_M06_UTCm5_20161217_081500.aif	2016/12/17	8:22:12.0000	sd
88	Waveform 1	6	30408.510670874	30473.212947061	0.000	533.000	64.7023			8	708.5105	79296_Brunswick03_002K_M06_UTCm5_20161217_081500.aif	C:\Users\xavier.mouy\Desktop\Brunswick\79296_Brunswick03_002K_M06_UTCm5_20161217_081500.aif	2016/12/17	8:26:48.5107	su
88	Spectrogram 1	6	30408.510670874	30473.212947061	0.000	533.000	64.7023	0.000	3.906	8	708.5105	79296_Brunswick03_002K_M06_UTCm5_20161217_081500.aif	C:\Users\xavier.mouy\Desktop\Brunswick\79296_Brunswick03_002K_M06_UTCm5_20161217_081500.aif	2016/12/17	8:26:48.5107	su
89	Waveform 1	6	30298.638881123	30349.098517898	79.300	229.100	50.4596			8	598.6390	79296_Brunswick03_002K_M06_UTCm5_20161217_081500.aif	C:\Users\xavier.mouy\Desktop\Brunswick\79296_Brunswick03_002K_M06_UTCm5_20161217_081500.aif	2016/12/17	8:24:58.6389	c
